transaction_id,account_id,transaction_date,amount,transaction_type
1,747,2025-06-03,40690.06,Withdrawal
2,465,2025-08-14,34790.98,Deposit
3,657,2025-06-28,32115.47,Withdrawal
4,811,2025-11-18,32090.83,Deposit
5,411,2026-03-12,10083.76,Withdrawal
6,322,2025-10-23,28832.89,Deposit
7,162,2025-11-22,12555.22,Deposit
8,868,2025-07-02,29741.4,Withdrawal
9,812,2026-01-30,46976.97,Withdrawal
10,490,2025-06-24,43687.94,Deposit
11,267,2026-01-22,8756.6,Withdrawal
12,819,2025-08-17,14161.69,Deposit
13,425,2025-09-04,18443.22,Withdrawal
14,898,2026-01-03,18928.27,Deposit
15,22,2025-10-03,47410.65,Deposit
16,929,2025-05-26,4539.93,Withdrawal
17,204,2025-08-19,13162.98,Deposit
18,51,2025-06-24,20111.64,Withdrawal
19,615,2025-07-17,13081.87,Deposit
20,982,2025-05-27,18459.22,Deposit
21,15,2025-10-14,35957.31,Withdrawal
22,792,2025-12-17,46007.45,Withdrawal
23,848,2025-05-21,33713.14,Deposit
24,230,2025-10-08,35706.83,Deposit
25,969,2025-03-28,43110.64,Withdrawal
26,295,2025-10-22,37347.51,Withdrawal
27,134,2025-03-19,21622.3,Deposit
28,615,2025-04-15,10856.77,Withdrawal
29,745,2025-07-26,33891.71,Withdrawal
30,185,2026-02-17,20485.35,Deposit
31,30,2025-09-06,14580.63,Withdrawal
32,242,2025-10-12,30922.24,Deposit
33,379,2025-11-09,29186.86,Withdrawal
34,88,2026-01-20,614.98,Deposit
35,893,2025-11-08,16229.97,Withdrawal
36,704,2026-02-19,10689.66,Withdrawal
37,726,2025-05-15,21222.22,Withdrawal
38,75,2026-01-19,4854.44,Deposit
39,54,2026-01-28,16709.84,Deposit
40,483,2025-12-21,45420.5,Deposit
41,6,2025-10-06,12757.48,Withdrawal
42,310,2025-11-10,48878.44,Withdrawal
43,136,2025-07-12,48406.08,Deposit
44,595,2025-11-30,9050.67,Deposit
45,516,2025-11-20,24692.71,Withdrawal
46,899,2025-04-12,23457.43,Deposit
47,325,2026-01-03,35541.75,Withdrawal
48,146,2025-06-24,13094.26,Withdrawal
49,46,2026-01-06,48927.98,Withdrawal
50,893,2025-04-18,48671.24,Withdrawal
51,766,2025-07-02,18093.55,Withdrawal
52,290,2025-11-21,45149.35,Withdrawal
53,628,2025-08-14,41496.5,Withdrawal
54,530,2025-09-10,15719.21,Deposit
55,324,2025-10-16,36869.77,Withdrawal
56,783,2025-08-06,47507.53,Withdrawal
57,55,2025-12-15,9527.11,Deposit
58,236,2026-01-26,9238.75,Withdrawal
59,267,2026-01-20,8261.39,Withdrawal
60,447,2026-01-21,5889.6,Withdrawal
61,42,2025-05-19,22131.83,Withdrawal
62,469,2026-01-15,24700.13,Deposit
63,127,2025-11-06,17545.25,Deposit
64,890,2025-08-26,14277.41,Deposit
65,768,2025-08-17,25486.01,Withdrawal
66,577,2025-05-31,44555.64,Deposit
67,598,2025-11-02,49900.43,Deposit
68,539,2026-01-28,38365.7,Deposit
69,427,2025-12-14,46028.62,Deposit
70,787,2025-08-06,24955.73,Deposit
71,909,2025-04-26,16500.02,Withdrawal
72,698,2025-11-23,49068.59,Deposit
73,404,2025-06-07,18740.56,Deposit
74,858,2026-01-13,16244.56,Deposit
75,84,2025-08-29,23065.64,Withdrawal
76,465,2025-06-20,31455.0,Withdrawal
77,609,2026-02-26,32934.51,Withdrawal
78,994,2025-07-23,2287.97,Withdrawal
79,333,2025-11-17,47376.18,Deposit
80,217,2025-07-10,43177.61,Withdrawal
81,331,2025-12-30,39927.53,Deposit
82,561,2025-04-27,47599.82,Withdrawal
83,95,2026-03-03,20003.04,Deposit
84,246,2025-06-06,48255.96,Withdrawal
85,92,2025-09-09,1123.55,Deposit
86,167,2026-02-26,19486.29,Withdrawal
87,292,2025-10-31,32393.68,Deposit
88,124,2025-12-26,14997.48,Withdrawal
89,754,2026-01-06,40337.02,Withdrawal
90,926,2025-07-27,34279.6,Deposit
91,368,2025-12-09,33309.46,Withdrawal
92,525,2025-07-06,10073.58,Withdrawal
93,907,2025-12-16,19465.67,Withdrawal
94,577,2025-10-24,30057.0,Deposit
95,775,2025-12-11,21184.56,Withdrawal
96,629,2025-11-14,9399.16,Withdrawal
97,96,2025-12-07,2117.86,Withdrawal
98,997,2025-08-05,23229.89,Deposit
99,664,2025-12-13,34343.2,Deposit
100,954,2025-05-07,24816.58,Deposit
101,298,2025-10-04,23464.14,Deposit
102,929,2026-01-26,40097.08,Withdrawal
103,153,2025-09-25,49210.89,Withdrawal
104,862,2025-07-19,12507.81,Withdrawal
105,303,2026-01-07,28469.93,Deposit
106,940,2025-03-15,2350.24,Deposit
107,523,2026-01-25,21303.18,Deposit
108,476,2025-04-02,33076.68,Withdrawal
109,364,2025-07-25,12817.52,Deposit
110,788,2025-09-24,25221.88,Deposit
111,759,2025-10-20,33112.76,Deposit
112,806,2025-10-21,9192.19,Withdrawal
113,47,2025-07-12,4256.2,Withdrawal
114,322,2025-05-01,29401.7,Withdrawal
115,776,2025-04-22,33545.97,Withdrawal
116,350,2025-06-12,48339.31,Deposit
117,217,2025-08-16,9335.86,Withdrawal
118,893,2025-12-10,33703.1,Withdrawal
119,548,2025-08-17,993.97,Withdrawal
120,120,2025-11-29,763.9,Withdrawal
121,472,2026-02-18,34621.13,Withdrawal
122,311,2025-05-06,30963.12,Withdrawal
123,708,2026-03-13,33722.78,Withdrawal
124,824,2025-10-12,15202.57,Deposit
125,139,2025-09-26,792.41,Deposit
126,836,2025-09-26,892.67,Deposit
127,880,2025-08-10,1438.08,Withdrawal
128,665,2025-05-13,7343.19,Deposit
129,447,2025-09-13,42120.28,Deposit
130,89,2025-10-14,15115.8,Withdrawal
131,152,2025-11-04,23752.06,Deposit
132,120,2025-11-06,8388.66,Deposit
133,757,2025-11-22,35159.65,Withdrawal
134,483,2026-02-26,1079.43,Withdrawal
135,600,2025-08-15,12207.22,Withdrawal
136,584,2025-06-23,41489.59,Withdrawal
137,53,2025-10-07,16759.12,Deposit
138,646,2025-08-31,42396.71,Withdrawal
139,426,2025-08-17,42445.95,Withdrawal
140,38,2025-10-11,24426.08,Withdrawal
141,526,2025-12-05,29592.86,Withdrawal
142,238,2025-12-18,35743.09,Deposit
143,433,2025-10-30,28862.53,Deposit
144,275,2025-04-22,44654.57,Withdrawal
145,911,2025-04-14,23719.56,Withdrawal
146,638,2025-06-27,46954.33,Withdrawal
147,460,2025-09-12,34905.97,Deposit
148,166,2025-05-18,14471.74,Deposit
149,481,2025-06-30,17257.98,Deposit
150,520,2026-03-06,11063.15,Withdrawal
151,944,2026-03-07,30144.8,Withdrawal
152,135,2025-08-28,44170.35,Withdrawal
153,983,2025-11-15,20901.37,Withdrawal
154,816,2026-02-25,23669.01,Deposit
155,637,2026-03-10,10439.71,Deposit
156,684,2025-06-26,24196.2,Deposit
157,205,2025-07-17,7900.07,Withdrawal
158,104,2025-10-13,39694.77,Withdrawal
159,311,2025-08-27,11812.47,Deposit
160,19,2025-07-21,18003.46,Withdrawal
161,366,2025-10-22,33878.7,Deposit
162,848,2025-11-19,42987.14,Deposit
163,827,2025-04-13,3276.91,Withdrawal
164,117,2026-03-13,30916.39,Deposit
165,576,2025-05-09,11282.37,Withdrawal
166,349,2025-06-10,39265.8,Deposit
167,789,2025-04-24,43897.91,Withdrawal
168,918,2025-09-06,7643.8,Deposit
169,724,2025-06-24,2616.06,Withdrawal
170,819,2025-05-02,22911.07,Deposit
171,999,2025-11-27,5384.0,Deposit
172,844,2025-05-27,28167.4,Deposit
173,172,2025-09-05,31533.31,Deposit
174,933,2025-08-22,18145.76,Withdrawal
175,726,2026-02-06,22131.74,Withdrawal
176,751,2025-09-30,43537.59,Deposit
177,663,2025-09-06,18250.47,Deposit
178,126,2025-04-18,42444.9,Withdrawal
179,993,2025-12-21,20845.92,Deposit
180,252,2025-10-30,41757.19,Withdrawal
181,350,2025-12-02,14409.24,Deposit
182,88,2025-12-03,13374.18,Withdrawal
183,370,2025-12-27,31509.08,Deposit
184,156,2025-09-12,37684.99,Withdrawal
185,807,2026-02-16,11486.28,Withdrawal
186,424,2026-01-22,45909.2,Withdrawal
187,975,2025-10-06,42634.28,Withdrawal
188,967,2026-01-31,1585.17,Deposit
189,789,2025-03-24,596.44,Deposit
190,87,2025-03-18,16981.35,Withdrawal
191,791,2026-01-27,8299.8,Deposit
192,403,2025-10-05,37983.7,Deposit
193,925,2026-01-24,28770.41,Withdrawal
194,430,2025-06-03,20159.94,Withdrawal
195,739,2025-04-10,37160.61,Withdrawal
196,9,2025-07-15,41367.48,Deposit
197,718,2025-04-08,20256.51,Deposit
198,909,2025-09-03,27266.82,Withdrawal
199,715,2026-01-18,17328.01,Withdrawal
200,795,2026-02-28,9945.06,Withdrawal
201,87,2025-10-12,1944.81,Withdrawal
202,400,2025-04-09,36282.42,Deposit
203,533,2025-09-25,49597.01,Withdrawal
204,219,2025-09-11,4731.7,Withdrawal
205,534,2025-05-18,17101.37,Deposit
206,24,2025-12-23,1491.77,Withdrawal
207,248,2025-11-23,41628.23,Withdrawal
208,744,2026-02-04,21195.02,Deposit
209,750,2025-05-01,3091.29,Withdrawal
210,266,2025-08-08,31386.78,Withdrawal
211,127,2025-07-20,2481.87,Deposit
212,460,2026-01-15,14968.26,Deposit
213,465,2025-08-20,17015.12,Deposit
214,825,2025-07-14,37313.33,Deposit
215,359,2026-01-31,15030.16,Deposit
216,732,2025-09-17,18945.52,Deposit
217,108,2026-01-07,16459.56,Deposit
218,843,2025-08-01,38949.62,Withdrawal
219,101,2026-03-12,7413.01,Withdrawal
220,849,2025-04-10,20661.44,Deposit
221,64,2026-01-17,21301.85,Deposit
222,488,2025-07-25,10817.74,Deposit
223,379,2025-11-15,33873.44,Withdrawal
224,603,2025-04-19,27992.53,Withdrawal
